DetectionTimeStart_ShipLocal,DetectionTimeStart_UTC,DetectionTimeEnd_UTC,Latitude,Longitude
10/22/2017 16:25:48,10/23/2017 02:25:48,10/23/2017 02:26:00,25.35922333,-170.2254433
10/22/2017 16:35:00,10/23/2017 02:35:00,10/23/2017 02:35:16,25.37876667,-170.241455
10/22/2017 16:51:19,10/23/2017 02:51:19,10/23/2017 02:51:31,25.41326667,-170.2686233
10/25/2017 08:01:33,10/25/2017 18:01:33,10/25/2017 18:01:55,25.85341833,-169.2134317
10/25/2017 08:02:02,10/25/2017 18:02:02,10/25/2017 18:02:32,25.85370667,-169.2144967
10/25/2017 08:08:43,10/25/2017 18:08:43,10/25/2017 18:09:17,25.85867667,-169.2328417
10/25/2017 08:08:44,10/25/2017 18:08:44,10/25/2017 18:08:57,25.85880667,-169.233335
10/25/2017 08:14:46,10/25/2017 18:14:46,10/25/2017 18:15:20,25.86286333,-169.2506083
10/25/2017 08:21:16,10/25/2017 18:21:16,10/25/2017 18:21:51,25.86702167,-169.2693933
10/25/2017 08:21:18,10/25/2017 18:21:18,10/25/2017 18:21:29,25.86702167,-169.2693933
10/25/2017 08:21:42,10/25/2017 18:21:42,10/25/2017 18:22:09,25.867365,-169.270945
10/25/2017 08:27:27,10/25/2017 18:27:27,10/25/2017 18:28:03,25.87138167,-169.2874333
10/25/2017 08:27:28,10/25/2017 18:27:28,10/25/2017 18:27:53,25.87138167,-169.2874333
10/25/2017 08:33:31,10/25/2017 18:33:31,10/25/2017 18:33:55,25.875975,-169.3051933
10/25/2017 08:39:35,10/25/2017 18:39:35,10/25/2017 18:40:07,25.88052667,-169.32256
10/25/2017 08:46:15,10/25/2017 18:46:15,10/25/2017 18:46:47,25.885535,-169.3426233
10/25/2017 08:52:08,10/25/2017 18:52:08,10/25/2017 18:52:37,25.88961667,-169.360095
10/25/2017 08:52:34,10/25/2017 18:52:34,10/25/2017 18:52:49,25.88983667,-169.36113
10/25/2017 08:58:47,10/25/2017 18:58:47,10/25/2017 18:59:17,25.89425833,-169.3798067
10/25/2017 08:58:48,10/25/2017 18:58:48,10/25/2017 18:59:00,25.89425833,-169.3798067
10/25/2017 08:59:13,10/25/2017 18:59:13,10/25/2017 18:59:32,25.89448,-169.3808217
10/25/2017 09:04:40,10/25/2017 19:04:40,10/25/2017 19:04:59,25.89817333,-169.3969883
10/25/2017 09:05:23,10/25/2017 19:05:23,10/25/2017 19:05:54,25.89864167,-169.3991183
10/25/2017 09:10:33,10/25/2017 19:10:33,10/25/2017 19:10:48,25.90196833,-169.41423
10/25/2017 09:16:52,10/25/2017 19:16:52,10/25/2017 19:17:11,25.90623,-169.4330433
10/25/2017 09:24:41,10/25/2017 19:24:41,10/25/2017 19:24:59,25.91214667,-169.4557017
10/25/2017 09:26:15,10/25/2017 19:26:15,10/25/2017 19:26:37,25.91344,-169.4604033
10/25/2017 09:33:24,10/25/2017 19:33:24,10/25/2017 19:33:49,25.91910833,-169.48161
10/25/2017 09:39:56,10/25/2017 19:39:56,10/25/2017 19:40:14,25.924035,-169.5003567
10/25/2017 09:47:29,10/25/2017 19:47:29,10/25/2017 19:47:42,25.92986167,-169.5228983
10/25/2017 09:55:31,10/25/2017 19:55:31,10/25/2017 19:55:53,25.934735,-169.5464683
10/31/2017 17:14:47,11/01/2017 03:14:47,11/01/2017 03:15:00,26.53929,-175.6808867
10/31/2017 18:16:23,11/01/2017 04:16:23,11/01/2017 04:16:34,26.50969167,-175.6283983
11/02/2017 12:26:36,11/02/2017 22:26:36,11/02/2017 22:27:10,23.91758667,-174.0706517
11/02/2017 12:26:37,11/02/2017 22:26:37,11/02/2017 22:26:54,23.91758667,-174.0706517
11/02/2017 12:26:49,11/02/2017 22:26:49,11/02/2017 22:27:13,23.91745667,-174.0701033
11/02/2017 12:27:23,11/02/2017 22:27:23,11/02/2017 22:27:43,23.91709,-174.0685517
11/02/2017 12:28:25,11/02/2017 22:28:25,11/02/2017 22:28:49,23.91634333,-174.0653517
11/02/2017 12:28:58,11/02/2017 22:28:58,11/02/2017 22:29:18,23.91597167,-174.06376
11/02/2017 12:29:35,11/02/2017 22:29:35,11/02/2017 22:30:01,23.915495,-174.06166
11/02/2017 12:30:13,11/02/2017 22:30:13,11/02/2017 22:30:33,23.91500167,-174.0595583
11/02/2017 12:30:47,11/02/2017 22:30:47,11/02/2017 22:31:10,23.914645,-174.0579483
11/02/2017 12:31:58,11/02/2017 22:31:58,11/02/2017 22:32:28,23.913905,-174.0547317
11/02/2017 12:32:41,11/02/2017 22:32:41,11/02/2017 22:33:00,23.913415,-174.0525733
11/02/2017 12:32:49,11/02/2017 22:32:49,11/02/2017 22:33:00,23.91329667,-174.05207
11/02/2017 12:33:11,11/02/2017 22:33:11,11/02/2017 22:33:29,23.91305333,-174.051015
11/02/2017 12:33:44,11/02/2017 22:33:44,11/02/2017 22:34:06,23.91270333,-174.0494083
11/02/2017 12:33:51,11/02/2017 22:33:51,11/02/2017 22:34:05,23.91258833,-174.0489117
11/02/2017 12:34:10,11/02/2017 22:34:10,11/02/2017 22:34:27,23.91236333,-174.04785
11/02/2017 12:34:20,11/02/2017 22:34:20,11/02/2017 22:34:43,23.912225,-174.0472983
11/02/2017 12:34:34,11/02/2017 22:34:34,11/02/2017 22:34:56,23.91211667,-174.0468017
11/02/2017 12:36:25,11/02/2017 22:36:25,11/02/2017 22:36:37,23.91090333,-174.041395
11/02/2017 12:36:30,11/02/2017 22:36:30,11/02/2017 22:36:51,23.91077333,-174.0408417
